Index;Start time in milliseconds;End time in milliseconds;"Script"
74;312460;315320;"쑤 과장님 아직은 님"
75;315330;318720;"제가 하자"
76;318740;327000;"4 피부 돌로 으"
77;327020;328150;"가장 이거 보세요"
78;328160;332140;"예 전부 싶어 산 그 끝내고 내수 셔 돌아섰다고 지금 말하나요"
79;332150;336160;"예 좀 상황이 안 좋습니다 돼야 하는 일이야"
80;336170;339730;"내일 바로 중국 쪽에 연락해서 미팅 잡아 그쪽이 가던지"
81;339740;342940;"우리가 가던 재 자의 이게 제 장엄 하죠"
82;342950;348490;"갱 수를 쪽에서 들어오구요 부장님께서 추진하던 말이 되며"
83;348500;353470;"배워 둬야 하기 보시고 저도 않은데요 이거 좀 상황이 많이 달라졌어요"
84;353480;359949;"그 달라 졌지 시간이 많이 흘러 버렸어"
85;359969;365080;"내가 보려 해 참 부식 해준 바른것"
86;365100;368960;"부정 시작이 돼 더 뭐가 되었든 그 안자랑 아이템의 진행을 늦추고 바로"
87;368970;373970;"나고 그 때문에 매우 환경 바뀌어서 차환 주어진 책임도 말이야"
88;373980;379400;"우리팀 책임이 줘"
89;379420;382740;"어 이거 회계 못한 합정역 드리신 바"
90;382750;387130;"해야 돼 아 으 잉"
91;387140;390820;"다들 왜 가 나옴 왜 예 모두 방법 나왔습니다"
92;390830;396860;"음"
93;396880;402020;"아 10"
94;402040;406210;"아 아 아 아 아"
95;406220;408110;"야 아"
96;408120;410930;"아까 당신이 야기한 그보다 훨씬 위험하잖아"
97;410940;415040;"지금 중국 제 살 좀 들어서 전부 조정하고 있는 거 볼 예 지금 보완해서"
98;415050;416630;"진행하려고 합니다"
99;416640;419600;"어제가 와 장 당시 나 좀 잘 추진해 봐 아"
100;419610;424070;"바로바로 보고하고 아 그 버거워서 있는 내 아이디랑 부문 지워 버려요"
101;424080;429120;"좀 보고 3 그런 자질구레한 까지 너"
102;429140;432550;"그럼 뭐 중국쪽 백업은"
103;432560;435610;"달인들 산 없어 내 건물 모습"
104;435620;443610;"회생 앞에 값이 모두 찾아"
105;443630;450160;"먹이가 떡 구동부 철 뭐 갑자기 친구 시작한 사업 쩌리 좀 부 되시나요"
106;450170;452830;"왜 빨라지고 5"
107;452840;457450;"지금 먹겠다는 거지 근데 삼킨 기회가 형 번 없다구"
108;457460;462010;"대놓고 말씀하시던데 잘 좀 해"
109;462020;467110;"뭐라고 자기가 시키는 방향과 자주 건 나간다고"
110;467120;475239;"이건기 예언에서 승전 하겠냐"
111;475259;477740;"으 으"
112;477750;480600;"[음악]"
113;480610;483480;"이거 거 없죠 해야 된다"
114;483490;487500;"희토류 수출 쿼터 가고 있는 업체 따라 5"
115;487510;491580;"쑥 라비 수출이 위치 포장 4 나한텐"
116;491590;493780;"아"
117;493800;497239;"실수하지 않는 하는 충분한 양을 확 열어"
118;497249;502850;"기다리는게 알겠는데 10l 저희 볼 수는 없고 아그 과장님이 톡 입건"
119;502860;505879;"코토 제한 때문에 만드셨다면 서요"
120;505889;509719;"으 아 옛말"
121;509729;513940;"목회 이제 중국이 변덕을 부려 줄 누가 람마"
122;513960;517950;"내가 부모님 입보다 더 자주 들락거리는 알았는데"
123;517960;521470;"김 3 5000 있다니까"
124;521490;525040;"저자 미시의 아주 짜는 말도 있잖아요"
125;525050;533320;"그해 말"
126;533340;539860;"등잔 밑이 어둡다고"
127;539880;542460;"아 그러면 난 난 난 난 난 이만 거"
128;542470;547360;"[음악]"
129;547380;551060;"도전 비치어 도타 2"
130;551070;553950;"w 으"
131;553960;556790;"[음악]"
132;556800;560180;"으 too"
133;560190;564480;"dw"
134;564500;570360;"와 장모에 있어 예 유 수가 있습니다"
135;570380;573430;"군대 히토리 말입니다 방법 추징 같습니다"
136;573440;578650;"뭐 한국광물자원공사 에서 북한과 히터 1 개 발 주 처 하고 있다면"
137;578660;583030;"g"
138;583050;585860;"총 매장량 2000만 톤 정도 추정하고 있습니다"
139;585870;589840;"개발의 꿈 때가 되면 축에는 문제 없습니다"
140;589850;591640;"[음악]"
141;591650;594580;"기획실 연락해서 밑에 차 타고 3d 좀 장착하고"
142;594590;601360;"한 사람의 이렇게 맛있어요 이제 그럼 이거 침"
143;601380;605449;"굉장히 하고 있어 그 영상 10.7 끝납니다 바로 이렇게 저희 아이템으로"
144;605459;609389;"전문 님께 보고 들어 가시는 거 아닌가요"
145;609399;613019;"누가 영웅이 팀 아이템으로 보고한다 고 있습니다 영업 3팀 알텐데 기우"
146;613029;614939;"기술 바라 보잖아"
147;614949;617880;"8"
148;617900;619499;"[음악]"
149;619509;621980;"we"
150;621990;623309;"[음악]"
151;623319;625990;"we"
152;626000;629199;"북측과 는 부적 후기 오몽 단 운영 협의 때문에 만나 달"
153;629209;633790;"공식 인정을 않고 있습니다 러브 싸움 쪽으로 어지러움에 경과 멋이 올려"
154;633800;636390;"예 그만 끝내 쳇"
155;636400;642180;"으 순방 수가 있어 어 어 좀 쉬자"
156;642190;644790;"그래 뭐 그러니까"
157;644800;647780;"무슨일이"
158;647800;652860;"자격 때 시간 좀 해줄 수 있습니다 뭐 뭐 할 말이 어디 있는 거예요"
159;652870;655500;"식사가 차시 5"
160;655510;660770;"음 뭐 그럴까 2 지원 정도 싫어 피니까 뭐"
161;660790;663790;"4"
162;663810;665780;"으 오오오"
163;665790;675680;"it 넘어 생각합니다 음 식 수 주 당 김환희 부장이 탐험가 첫방 쳤는데"
164;675690;679630;"다시 잔고를 돌 있단 말이에요"
165;679650;684530;"아니 암말 상징 생각하시는데 불러와서 과장이 다 아니까 이거 어머 신지"
166;684540;689000;"이렇게 이래 이거나 정리 학교 쓸 좀 드신 거 아니고"
167;689010;694400;"아무런 더 회로 종류의 빨 벌어져 예 굉장히 잘 모르죠"
168;694410;697220;"아 여기 링 시장 다 거짓입니다"
169;697230;700340;"그래서 와 좋다고 완성된 아에 되며 가면 돼"
170;700350;704900;"내 말은 이 걱정이라 생각하자 이쁘지"
171;704910;709850;"와 장 지금 3 만들어 주기에 따라 힘 실어 주자도 형님"
172;709860;714080;"신경 써줄 수 있게 아직 많습니다 확정 1259"
173;714090;720869;"리머 부장님 4 오늘 밀어 주시오"
174;720889;725129;"예 뭐 장애인 아아"
175;725139;727759;"5장 블록"
176;727779;729660;"아"
177;729670;737660;"자 아 나 아저씨 들에 예"
178;737680;747489;"아"
179;747509;751020;"우리 쉽게 가자"
180;751040;753760;"이쯤 까만 점이 이루어 줄게 그러십니까"
181;753770;759430;"때 감상 예"
182;759450;765440;"싸지 키운다 당장 대북정책 기조가 나올 때까지 기다리기도 해야 되니까"
183;765450;768170;"굉장히 잘 준비해서 크게 가져오고"
184;768180;771500;"올해 자원은 깨작깨작 젓가락질 하는거 아냐"
185;771510;775060;"제가 그 신문 얼마나 없지"
186;775070;778309;"즉 8"
187;778329;786029;"자 어 맞어 예 아 그럼 왜 그 분의"
188;786039;789689;"그 단맛에 예"
189;789699;793679;"아 자판 팔려 있습니다 아빠 아 쏘 4"
190;793689;796739;"으 합니다"
191;796749;801059;"성능 기서 어제 되십니다 아우 리즈 전개 바칠 번씩 나왔거든요"
192;801069;804860;"4 예"
193;804880;808260;"잠깐만 파이즈 한번 초밥"
194;808270;812710;"ip"
195;812730;815840;"스토리 유 예"
196;815850;824120;"잡아 팀에서 아니라 베 어업 선택 만지고 있어 그 잡았지만 이 되잖아"
197;824140;831360;"빠 부자 예 지난번에 한번 1 2 도리를 이겨 중이죠"
198;831380;834490;"아 깨 아무래도"
199;834500;839050;"보고서 제대로 만들어서 올리려던 점입니다 4 차원 차원 침해 서예지"
200;839060;842800;"아 이 미 자 여기 없으니까"
201;842810;848480;"1 으로 가는게 어때"
202;848500;851549;"5"
203;851569;853520;"예"
204;853530;856620;"전문가들도 왜 그 정부내"
205;856630;859440;"영업 3팀의 올리는 일을 찾아보라고"
206;859450;867290;"또 개설하고 올테니까 정책이 좀 먹고 가"
207;867310;871630;"어울리는 일들 찾어"
208;871650;874310;"그쵸 아"
209;874320;884110;"아 예 뭐"
210;884130;888890;"아람 메카 펑크를 많더라구요 3 백만 불짜리 야 아이템에서 하다 홀드"
211;888900;890450;"함으로써 준비도 번듯하게"
212;890460;894560;"이번에도 문 축이 될 경우 니까 누가 오겠어"
213;894570;898300;"못합니다 뭐 그러니까 어떻게 인간이 아셨습니까"
214;898310;902510;"제가 할 수 있는 일을 주십시오"
215;902530;906870;"야 회사서 봉급과 놈들이 할 수 있는 일이 따로 있어"
216;906880;910740;"할 살짝 하라고 하는 이다 할 수 있어야 되는 일 아냐 어쨌든 저는 뭐"
217;910750;913530;"아이들아 비서 꾸로 나머지 되는 것이 좋습니다"
218;913540;915949;"롤 고 있네"
219;915959;919460;"너 진짜 집에서 계속 쭉쭉 놀래 계속 쭉 눌러 줍니다"
220;919470;923360;"차라리 채 편이죠 4 펴"
221;923370;929800;"동숙의 4억원 우리 부서 설정에서 같잖아"
222;929820;932930;"알았어 이거 따면 내 인력충원 해줄게"
223;932940;935990;"니가 눈 한 번 딱 감사하라 어"
224;936000;942410;"음식이 불쌍하지도 않냐 요즘 아주 얼굴이 눈 업계 쪄서 평등 아까 떠라"
225;942420;950720;"어 부장님이 인력충원 약속 애덤 소 음 엄마 현중이가 술자리에서 진상짓"
226;950730;956250;"차면서 드럽게 노는것도 노는 건데 우리 과장님이"
227;956260;960400;"접대를 절대로 안 앓는 이유가 있지"
228;960420;964700;"인간이 2차 조 뜰 꼭 권합니다"
229;964710;970460;"이처럼 연"
230;970480;974380;"물론 범퍼 팽이 아 방법인데"
231;974400;978440;"요즘에도 이런 걸 원하는 바이어들이 꼭 있더라니까"
232;978450;983780;"아무리 과장님은 법이 아니더라도 신념 때문에라도 절대 안하실 거야"
233;983790;985360;"신념"
234;985370;990130;"카 니까 신념이 라는게 몰라볼 뻔 얘기할 낀 하셨는데"
235;990140;997930;"아 뭐 인권 어쩌구 음 뭐 인간의 존엄성 은거 어쩌구 그 아우 두복들에게"
236;997940;1002610;"설명은 안 되는데 그 우리 과장님의 신념은"
237;1002620;1009350;"2차 좁 때는 절대 하지 않겠다 는게 신념이 거지"
238;1009370;1014030;"그니까 2일 보다는 사람이 중요하다는 얘긴가요"
239;1014050;1018080;"그치"
240;1018100;1021079;"[음악]"
241;1021089;1025280;"야 다소 배출권"
242;1025290;1029450;"지금은 진심 버스 아 아"
243;1029460;1032160;"8"
244;1032180;1034570;"아 드디어 올 것이 왔다"
245;1034580;1038660;"아"
246;1038680;1042270;"부부 사업으로 할까"
247;1042290;1045010;"니콘의 원기 그 노래처럼"
248;1045020;1049120;"아니 에겐 거기 들어 산이 멈췄다고 그렇지만 결정적인 한방 안되요 때려"
249;1049130;1052300;"짜 나요 만하니까 같이"
250;1052310;1058720;"에 싫어요 그냥 되도록 하라 고 홈 쇼 학 cd 야 그게 많이 세 개가"
251;1058730;1061000;"아무리 똑똑해도 캔 신입 이야"
252;1061010;1065080;"개운 잤어 못해 아랑 하지 못한다 구요 나의 자식아"
253;1065090;1069730;"누나네 걔한테 1 주고 싶어 수 있느니라 이거 되기만 하면 큰건 이잖아"
254;1069740;1073930;"티모 좀 생각하고 재무팀 통금 됐어요"
255;1073940;1077440;"어 써봤어요"
256;1077450;1080620;"1 담당 할꺼니까 받을 서브 자리 좋아"
257;1080630;1086029;"대신하겠습니다"
258;1086049;1095990;"아 텔링 증거자"
259;1096010;1099820;"니가 못한다고 해 4 예"
260;1099830;1106340;"뭘 모르는 척 되므로 내가 너랑 일을 하고 싶어 라고 생각했어"
261;1106360;1107610;"[음악]"
262;1107620;1112230;"제가 서버 더 잘하겠습니다 야 무슨 말인지 몰라"
263;1112240;1115980;"써포트 를 잘 해 줘 끝까지 머신은 쳐 가겠다는 거야"
264;1115990;1120690;"302 니가 못한다고 해 니 말대로 그렇게 저한테 이런 일하면 더 이상"
265;1120700;1127020;"불라 만들지 말고 니 설에서 정리해"
266;1127040;1128019;"[음악]"
267;1128029;1136330;"으"
268;1136350;1141480;"5"
269;1141500;1144100;"동시기 불쌍하지도 않냐"
270;1144110;1149860;"요즘 아주 얼굴이 누렇게 떠서 병 등 닦아 떠라"
271;1149880;1151740;"[음악]"
272;1151750;1156440;"2 2 원인 떼어 3t 김동식 입니다"
273;1156450;1160520;"아 아 예 2 안녕하세요 예"
274;1160530;1165440;"얘기 관세음 변동 될 텐데 제가 확인하고 제가 알려드릴게요"
275;1165450;1170470;"2 예수가 하십시오"
276;1170490;1172190;"어"
277;1172200;1178280;"1 4 실업의 는 최씨 추 부장님이 인력충원 약속했다 면서 그리고 작은"
278;1178290;1179900;"돼"
279;1179910;1182750;"예"
280;1182770;1184659;"자"
281;1184669;1188480;"예 에 그쵸"
282;1188490;1190130;"4 3"
283;1190140;1192440;"뚝"
284;1192450;1194530;"아"
285;1194550;1197830;"1차 리스크 자보다"
286;1197850;1202670;"문중이 관련자 바쳐 저와 영수의 하나까지 다 근거와"
287;1202680;1205550;"몸 쉬기 어찌된"
288;1205560;1209060;"매일 차에서 계약하게 만들 거야"
289;1209070;1214970;"으 de 5"
290;1214980;1216440;"아"
291;1216450;1218690;"가장 아직 안 들어 오셨어 봐 주게"
292;1218700;1223340;"아 말도 없이 어디가 생 거야 살 알았는데 방 2개가 붙이기 있다"
293;1223350;1229960;"가진 줄까 오십니다 과장님 춤이 살았습니다"
294;1229980;1241139;"으 약간 줘 예"
295;1241159;1245520;"아"
296;1245540;1246790;"이렇게"
297;1246800;1249760;"5 어 머"
298;1249770;1253300;"아 뭐야 예"
299;1253310;1266320;"그곳 까지"
300;1266340;1269660;"아 으 아 아 국명"
301;1269670;1272340;"[음악]"
302;1272350;1278720;"으 으 아"
303;1278740;1280580;"승부는 생각보다 싱겁게 끝났다"
304;1280590;1283610;"[음악]"
305;1283620;1286560;"222"
306;1286570;1294810;"노래 좀 그랬음 가 예상치 못하게 작중 그 업을 벗어난 우리는"
307;1294820;1300450;"장 종료하기 전에 공항 상태에 빠졌거나 을 주고"
308;1300460;1303960;"요구 수유 어 잠시 버너 해보세요"
309;1303970;1306690;"끊고 실천방안 넣으시거나"
310;1306700;1310320;"그렇게 잠깐만 하러 와야"
311;1310340;1315010;"영업 3팀 술접대 역사에 가장 추 도면 미래 딴 계획은"
312;1315020;1318549;"지금까지 듣도 보도 못한 시대에 술고래 한테서"
313;1318559;1320700;"시작도 못하고 무력하게 땅"
314;1320710;1331220;"[음악]"
315;1331240;1335100;"peer-to-peer"
316;1335120;1347169;"5 2 2 2 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5"
317;1347179;1350680;"5 5"
318;1350700;1355169;"the pipe"
319;1355179;1365300;"속성으로 배운 폭탄주 슈는 실전에서 남은 잘 봤음 쏙쏙 잘 입선 뛰어야"
320;1365320;1367849;"참"
321;1367869;1375670;"완구 3 한때 따지만 있는 이 일축 되자 네 마디 아아"
322;1375680;1377490;"[음악]"
323;1377500;1383490;"아 o 아 아 아 맞네"
324;1383500;1387810;"잘 우리만 내는 말은 네 친구들의 칩 4"
325;1387820;1391290;"으 같은거 어우러진 된다 아 으"
326;1391300;1396350;"쇼 아냐 쎈쑤 는 봐"
327;1396370;1398640;"에 4장"
328;1398650;1404630;"삼아 아 뭐냐 색감 말 했냐"
329;1404650;1407220;"야 너 왜 힘들에"
330;1407230;1413270;"에 달란 씨가 없다 엇 반짝 됐습니다 2"
331;1413280;1421260;"아 정 아 어쩜 뭐 언어도 업주가 아 아 아"
332;1421280;1423690;"아 망했다"
333;1423700;1426800;"마르다 예"
334;1426810;1429060;"않다고"
335;1429070;1433310;"아"
336;1433330;1438149;"어떻게 그 미네 아"
337;1438169;1450600;"으 아 아 아"
338;1450620;1458180;"깼어요"
339;1458200;1458830;"부록"
340;1458840;1460860;"[박수]"
341;1460870;1465920;"놀랬어요 그"
342;1465940;1468960;"당신이 좀 흑해"
343;1468970;1470200;"내가 뭐랬어"
344;1470210;1472990;"[음악]"
345;1473000;1474640;"뭐"
346;1474650;1477960;"으 아 가정은"
347;1477970;1481950;"아 다있지 운용"
348;1481960;1484800;"확 풀려요 가장"
349;1484810;1491670;"에 야 이 자식아 내가 여러분 그놈이 우아 않도록 하락 들어가 해줄 줄"
350;1491680;1493730;"압니다"
351;1493740;1495020;"[음악]"
352;1495030;1497780;"어떻게 와이프를"
353;1497790;1499880;"o 등 강"
354;1499890;1505010;"으 자료 수가 있어요 아예 앉으라 써라 자려 줘 4"
355;1505020;1506740;"[음악]"
356;1506750;1511710;"자여 솔의 왕도 있는 법이야 아"
357;1511720;1516750;"최근 무가지 경제지 실린 분 충이 기자 에서"
358;1516760;1520779;"만화 란 같이 입구 간다는 얘기가 있었지"
359;1520789;1528999;"무심코 기념일을 그런데 우리 접대 날려고 똑같은 거야 순간 피가 거꾸로"
360;1529009;1530229;"수 없지"
361;1530239;1533030;"예"
362;1533050;1538830;"어디에 힘 또한 결혼 기대돼 가구 중 하겠다는 거 아냐 그럼 이 닿아"
363;1538840;1551800;"아 아 야 너 되게 1 어떻게 하 거야"
364;1551820;1555210;"크레아 올 싸움이 시팅"
365;1555220;1558840;"일단 싫다고 새콤하게 내 솔더 드리던"
366;1558850;1561419;"여기까지 다 갖다 바쳤고"
367;1561429;1565340;"아이고 집중해부 대표가 계획을 2개나 하자는 거야 으"
368;1565350;1569810;"으 가기 딱 하나 집안 등 아직도"
369;1569820;1576130;"어 적국이 홀 소복이 3 으 아"
370;1576150;1578810;"약 or"
371;1578820;1584870;"거에요 그 그러니까 지금 만화 절대 가 통했다는 거야 아님 운치를 더"
372;1584880;1586430;"그렇게 로맨티스트 했어요"
373;1586440;1589460;"[음악]"
374;1589470;1591130;"어 그런가 보십니다"
375;1591140;1594910;"[음악]"
376;1594920;1596820;"태그 이라 샤아"
377;1596830;1601440;"아 잠깐만 이 9분이 며 안되요 우짜 먹어야돼"
378;1601450;1607960;"상거래 근데 책상 위에 뭔가 넘 자료들 좀 줄여 저도 치우가"
379;1607980;1611900;"아 군요"
380;1611910;1618090;"아하하 cool"
381;1618110;1626550;"3 으"
382;1626570;1632030;"아"
383;1632050;1637740;"ooo 조 ooo 5"
384;1637760;1643780;"결국 문 춘계 아내가 회사의 실질적인 최종적 결정 단자"
385;1643790;1649390;"그러니까 과장님은 계약을 버리고 실명을 선택하신 거군요"
386;1649400;1650730;"그러니까 과장님은"
387;1650740;1652450;"[음악]"
388;1652460;1653270;"사실"
389;1653280;1655590;"[음악]"
390;1655600;1659920;"님도 보고 뽕도 따신 거군요"
391;1659940;1663840;"칩셋 아 아"
392;1663850;1665810;"[음악]"
393;1665820;1668230;"bean 아"
394;1668240;1671400;"아 4 4 아"
395;1671410;1676080;"[음악]"
396;1676100;1678790;"외국계 사다보니 수평적인 분위기에요"
397;1678800;1683920;"잔업 은 없는 편이구요 업무량은 개인이 조율하는 분위기에요"
398;1683930;1688810;"아 백희 씨의 다양한 경력을 맘에 들어 하니까 부담없이 얘기 하시면 될"
399;1688820;1692360;"거에요"
400;1692380;1699290;"뭐 라는 뜻의 배치 가능한 거에요 아마도 야"
401;1699310;1706140;"[음악]"
402;1706160;1708889;"그 친구 선고 말아요"
403;1708899;1713389;"우린 인력충원 언제 해주는데요 부장님이 중 좋은거라 다가닥 챙겨서"
404;1713399;1714319;"짱이에요"
405;1714329;1720460;"보내 주실 거야 곧 온대"
406;1720480;1724040;"무서운 되어 몰라요"
407;1724050;1729050;"뭐 어때요 올라"
408;1729070;1732030;"더 줘도 돼요 될 것입니다"
409;1732040;1734720;"그럼 노무 복으로 아이 겁니다"
410;1734730;1741310;"[음악]"
411;1741320;1743340;"으"
412;1743350;1752430;"[음악]"
413;1752450;1755860;"5 월"
414;1755870;1758820;"거즈"
415;1758840;1764890;"빨리 1 치미는"
416;1764910;1766430;"[음악]"
417;1766440;1773840;"으"
418;1773860;1778460;"[웃음]"
419;1778480;1784740;"또 뭐죠 이 맺었어요"
420;1784760;1787800;"4 팀 4"
421;1787820;1789610;"으 아"
422;1789620;1792869;"[음악]"
423;1792889;1795430;"야 김 제리"
424;1795440;1799539;"언제봐도 일을 잘하게 생겼다 말이지"
425;1799549;1802529;"어"
426;1802549;1805680;"장애라고 합니다"
427;1805700;1808170;"아 내가 간 악하지 않게 했지"
428;1808180;1813220;"[음악]"
429;1813240;1817260;"고소를 하면 엄청 4 5"
430;1817270;1821440;"다시는 5팀 좀 해요 이빨도 * 없어"
431;1821450;1823770;"[음악]"
432;1823780;1828230;"매체 아직 이카 오딘 야"
433;1828240;1832549;"아 어 누 조 심"
434;1832559;1834930;"뒤쪽과"
435;1834940;1840540;"e 아 아 아"
436;1840560;1843100;"자료 보자"
437;1843120;1845960;"나도 뭐 고졸 단 검정고시 라면서"
438;1845970;1849800;"예 에 나중에 개 채워져 6 맞구나"
439;1849810;1852310;"응"
440;1852330;1858260;"신기한 을 어 있어 피지를 뒤 2 겠어"
441;1858270;1861590;"김제 리 즈 과제 미리 빼돌리고"
442;1861600;1870340;"그런거 아니지 으 너무 일조한 것은 당연히 없을테고"
443;1870360;1872090;"이부장이 생겼으니까"
444;1872100;1875090;"얼굴마담 되겠다 아"
445;1875100;1878090;"영업직 은 얼굴도 출력 이니까"
446;1878100;1881620;"넘 출수 들지 말고"
447;1881640;1891820;"내 신고 위치 찾은 즉 주방 사귀는건 철저히 하고 자리 정리부터 에"
448;1891840;1895609;"거 장제 아유 브라질 분들도 있는데"
449;1895619;1903230;"해가 옵니까 해가 제가 좀 그렇지 않습니까"
450;1903250;1907530;"제가 무지 어땠지 다른 생탁 열리는 어 이거 자 바꿔줘야 당시 팀의"
451;1907540;1910000;"이스트 호칭 못했어"
452;1910010;1913720;"응 알았어 내가 우리 한것도 아닌데 말이지"
453;1913730;1915759;"딱"
454;1915769;1918970;"네에 아요 물기 골"
455;1918980;1922630;"et 카 지 식 5 와 들어올 수 있어"
456;1922640;1926289;"죄사함과"
457;1926309;1929350;"5 아"
458;1929360;1931779;"으"
459;1931799;1934279;"예 장비입니다"
460;1934289;1936870;"면접 날짜 창해 졌나요"
461;1936880;1939560;"[음악]"
462;1939570;1942220;"예"
463;1942240;1945720;"아 병 일이네요"
464;1945730;1950070;"아닙니다 바로 기관을 수 있습니다"
465;1950080;1952390;"예"
466;1952410;1958110;"아"
467;1958130;1960740;"5"
468;1960760;1963330;"누가 저한테 이러 채 기다렸어"
469;1963340;1968550;"시키지도 않은 하지만 저리 치워"
470;1968570;1969510;"4"
471;1969520;1973940;"[음악]"
472;1973960;1975539;"으 222"
473;1975549;1984069;"아 으 으 으 아 아 아 아"
474;1984089;1992280;"lee"
475;1992300;1996090;"이거"
476;1996110;1999700;"아 네 안녕히 예 무식 뭐 하는 거야"
477;1999710;2003270;"허락하지 않으셨습니까"
478;2003290;2008270;"예 말씀대로 업무에서 빠지게 씁니다"
479;2008280;2012850;"대신 그건 하시는 동안 제가 선배님 허드렛일 을 담당 하겠습니다"
480;2012860;2014760;"[박수]"
481;2014770;2016490;"그래"
482;2016500;2020840;"쥬 아 에"
483;2020860;2022440;"4"
484;2022450;2029260;"쓰레기통 털사 피와 그리고 싹다 시사 더 나"
485;2029270;2033370;"투에 못했어 아녀 하겠습니다"
486;2033380;2036100;"쉬는 김에 다른 사람 들고 또 썼다 시속 언어"
487;2036110;2039450;"네 알겠습니다"
488;2039470;2044200;"으 후 5"
489;2044210;2048500;"5"
490;2048520;2054290;"아까 실수를 좀 할 때"
491;2054310;2057869;"야 오래전에 제가 시켰어요"
492;2057879;2063869;"너무 하고싶다길래 얌마 너 진짜 왜 일에 하고 싶어한다고 저런걸 시켜 때"
493;2063879;2068850;"그 그게 뭐예요"
494;2068870;2072610;"아 반짝 300c"
495;2072630;2077860;"이계안 정식 아침에 이런 있는 방법이니까"
496;2077880;2083060;"아 예"
